feature_id,taxonomy,taxonomic_level,aliases,mean_abundance_low_responders,mean_abundance_high_responders,lightgbm_importance,published_abundance_direction,direction_basis,recommended_match_confidence,source_study,pmid,doi,source_sheet,source_url,limitations
ASV_7041,Bacteroides thetaiotaomicron,species,Bacteroides thetaiotaomicron;Bacteroides_thetaiotaomicron;s__Bacteroides_thetaiotaomicron;g__Bacteroides,1634.57048898,3699.47024836,65.8970934,high_response_enriched,Fig.5b中高低响应组平均丰度比较；不是SHAP方向，也不是因果效应,high仅限精确ASV或同一代表序列；taxonomy代理匹配应降级,Song et al. 2025,41390484,10.1038/s41467-025-66498-x,Source Data / Fig.5 / rows 12-55,https://www.nature.com/articles/s41467-025-66498-x,原论文使用V3-V4 ASV和RLE处理；不同流程产生的OTU/ASV ID不可直接视为同一特征。均值尺度不应与用户相对丰度直接比较。
ASV_13711,Oscillospiraceae UCG-003,genus_or_higher,Oscillospiraceae UCG-003;Oscillospiraceae_UCG-003;g__Oscillospiraceae_UCG-003,1678.49607458,1690.17001362,63.7424163,high_response_enriched,Fig.5b中高低响应组平均丰度比较；不是SHAP方向，也不是因果效应,high仅限精确ASV或同一代表序列；taxonomy代理匹配应降级,Song et al. 2025,41390484,10.1038/s41467-025-66498-x,Source Data / Fig.5 / rows 12-55,https://www.nature.com/articles/s41467-025-66498-x,原论文使用V3-V4 ASV和RLE处理；不同流程产生的OTU/ASV ID不可直接视为同一特征。均值尺度不应与用户相对丰度直接比较。
ASV_883,Anaerotruncus colihominis,species,Anaerotruncus colihominis;Anaerotruncus_colihominis;s__Anaerotruncus_colihominis;g__Anaerotruncus,53.53673136,58.34181221,56.7138475,high_response_enriched,Fig.5b中高低响应组平均丰度比较；不是SHAP方向，也不是因果效应,high仅限精确ASV或同一代表序列；taxonomy代理匹配应降级,Song et al. 2025,41390484,10.1038/s41467-025-66498-x,Source Data / Fig.5 / rows 12-55,https://www.nature.com/articles/s41467-025-66498-x,原论文使用V3-V4 ASV和RLE处理；不同流程产生的OTU/ASV ID不可直接视为同一特征。均值尺度不应与用户相对丰度直接比较。
ASV_14720,Bacteroides stercoris,species,Bacteroides stercoris;Bacteroides_stercoris;s__Bacteroides_stercoris;g__Bacteroides,10594.63896525,7195.72202394,53.2769215,low_response_enriched,Fig.5b中高低响应组平均丰度比较；不是SHAP方向，也不是因果效应,high仅限精确ASV或同一代表序列；taxonomy代理匹配应降级,Song et al. 2025,41390484,10.1038/s41467-025-66498-x,Source Data / Fig.5 / rows 12-55,https://www.nature.com/articles/s41467-025-66498-x,原论文使用V3-V4 ASV和RLE处理；不同流程产生的OTU/ASV ID不可直接视为同一特征。均值尺度不应与用户相对丰度直接比较。
ASV_2252,Lachnospiraceae,genus_or_higher,Lachnospiraceae;g__Lachnospiraceae,239.97862627,166.78392019,40.8863520,low_response_enriched,Fig.5b中高低响应组平均丰度比较；不是SHAP方向，也不是因果效应,high仅限精确ASV或同一代表序列；taxonomy代理匹配应降级,Song et al. 2025,41390484,10.1038/s41467-025-66498-x,Source Data / Fig.5 / rows 12-55,https://www.nature.com/articles/s41467-025-66498-x,原论文使用V3-V4 ASV和RLE处理；不同流程产生的OTU/ASV ID不可直接视为同一特征。均值尺度不应与用户相对丰度直接比较。
ASV_13084,Lachnospiraceae,genus_or_higher,Lachnospiraceae;g__Lachnospiraceae,467.42467119,1346.86088638,40.6324606,high_response_enriched,Fig.5b中高低响应组平均丰度比较；不是SHAP方向，也不是因果效应,high仅限精确ASV或同一代表序列；taxonomy代理匹配应降级,Song et al. 2025,41390484,10.1038/s41467-025-66498-x,Source Data / Fig.5 / rows 12-55,https://www.nature.com/articles/s41467-025-66498-x,原论文使用V3-V4 ASV和RLE处理；不同流程产生的OTU/ASV ID不可直接视为同一特征。均值尺度不应与用户相对丰度直接比较。
ASV_3830,Oscillospiraceae UCG-005,genus_or_higher,Oscillospiraceae UCG-005;Oscillospiraceae_UCG-005;g__Oscillospiraceae_UCG-005,184.05933051,446.98528732,40.1992345,high_response_enriched,Fig.5b中高低响应组平均丰度比较；不是SHAP方向，也不是因果效应,high仅限精确ASV或同一代表序列；taxonomy代理匹配应降级,Song et al. 2025,41390484,10.1038/s41467-025-66498-x,Source Data / Fig.5 / rows 12-55,https://www.nature.com/articles/s41467-025-66498-x,原论文使用V3-V4 ASV和RLE处理；不同流程产生的OTU/ASV ID不可直接视为同一特征。均值尺度不应与用户相对丰度直接比较。
ASV_728,Bilophila,genus_or_higher,Bilophila;g__Bilophila,1337.08363729,1628.33786995,33.3407784,high_response_enriched,Fig.5b中高低响应组平均丰度比较；不是SHAP方向，也不是因果效应,high仅限精确ASV或同一代表序列；taxonomy代理匹配应降级,Song et al. 2025,41390484,10.1038/s41467-025-66498-x,Source Data / Fig.5 / rows 12-55,https://www.nature.com/articles/s41467-025-66498-x,原论文使用V3-V4 ASV和RLE处理；不同流程产生的OTU/ASV ID不可直接视为同一特征。均值尺度不应与用户相对丰度直接比较。
ASV_10818,Bacteroides ovatus,species,Bacteroides ovatus;Bacteroides_ovatus;s__Bacteroides_ovatus;g__Bacteroides,988.71725932,436.80905775,30.7771862,low_response_enriched,Fig.5b中高低响应组平均丰度比较；不是SHAP方向，也不是因果效应,high仅限精确ASV或同一代表序列；taxonomy代理匹配应降级,Song et al. 2025,41390484,10.1038/s41467-025-66498-x,Source Data / Fig.5 / rows 12-55,https://www.nature.com/articles/s41467-025-66498-x,原论文使用V3-V4 ASV和RLE处理；不同流程产生的OTU/ASV ID不可直接视为同一特征。均值尺度不应与用户相对丰度直接比较。
ASV_1614,Lachnospiraceae UCG-010,genus_or_higher,Lachnospiraceae UCG-010;Lachnospiraceae_UCG-010;g__Lachnospiraceae_UCG-010,141.53680678,351.65341737,30.7403263,high_response_enriched,Fig.5b中高低响应组平均丰度比较；不是SHAP方向，也不是因果效应,high仅限精确ASV或同一代表序列；taxonomy代理匹配应降级,Song et al. 2025,41390484,10.1038/s41467-025-66498-x,Source Data / Fig.5 / rows 12-55,https://www.nature.com/articles/s41467-025-66498-x,原论文使用V3-V4 ASV和RLE处理；不同流程产生的OTU/ASV ID不可直接视为同一特征。均值尺度不应与用户相对丰度直接比较。
