evidence_id,canonical_taxon,taxonomic_level,aliases,reported_direction,study,year,population,sequencing_type,metformin_adjusted,evidence_type,evidence_summary,pmid,doi,url,limitations
ev_001,Bacteroides,genus,"Bacteroides;g__Bacteroides",decreased:Control > T2D,"Qin et al.",2012,Chinese,shotgun metagenomic,no,case_control,"Bacteroides 属在 T2D 组中相对丰度低于健康对照组。",23023125,10.1038/nature11450,https://www.nature.com/articles/nature11450,未校正二甲双胍；属水平分辨率有限
ev_002,Prevotella,genus,"Prevotella;g__Prevotella",decreased:Control > T2D,"Qin et al.",2012,Chinese,shotgun metagenomic,no,case_control,"Prevotella 属在 T2D 组中丰度较低。",23023125,10.1038/nature11450,https://www.nature.com/articles/nature11450,未校正二甲双胍；与膳食纤维摄入相关
ev_003,Bifidobacterium,genus,"Bifidobacterium;g__Bifidobacterium",decreased:Control > T2D,"Qin et al.",2012,Chinese,shotgun metagenomic,no,case_control,"Bifidobacterium 属在 T2D 组中丰度降低。",23023125,10.1038/nature11450,https://www.nature.com/articles/nature11450,未校正二甲双胍；属水平分辨率有限
ev_004,Faecalibacterium,genus,"Faecalibacterium;g__Faecalibacterium;Faecalibacterium_prausnitzii",decreased:Control > T2D,"Qin et al.",2012,Chinese,shotgun metagenomic,no,case_control,"Faecalibacterium 在 T2D 中丰度降低，可能与丁酸合成减少相关。",23023125,10.1038/nature11450,https://www.nature.com/articles/nature11450,与低度炎症关系复杂
ev_005,Escherichia,genus,"Escherichia;g__Escherichia;Escherichia_coli",increased:T2D > Control,"Qin et al.",2012,Chinese,shotgun metagenomic,no,case_control,"Escherichia 属在 T2D 组中丰度升高。",23023125,10.1038/nature11450,https://www.nature.com/articles/nature11450,部分菌株为益生菌
ev_006,Lactobacillus,genus,"Lactobacillus;g__Lactobacillus",increased:T2D > Control,"Karlsson et al.",2013,Swedish,shotgun metagenomic,no,case_control,"Lactobacillus 在 T2D 女性中丰度升高。",23719380,10.1038/nature12198,https://www.nature.com/articles/nature12198,菌株特异性强；不同 Lactobacillus 物种功能差异大
ev_007,Clostridium,genus,"Clostridium;g__Clostridium",decreased:Control > T2D,"Karlsson et al.",2013,Swedish,shotgun metagenomic,no,case_control,"部分 Clostridium 物种在 T2D 中丰度降低。",23719380,10.1038/nature12198,https://www.nature.com/articles/nature12198,属内物种功能高度分化
ev_008,Roseburia,genus,"Roseburia;g__Roseburia",decreased:Control > T2D,"Karlsson et al.",2013,Swedish,shotgun metagenomic,no,case_control,"Roseburia 属作为丁酸产生菌在 T2D 中丰度降低。",23719380,10.1038/nature12198,https://www.nature.com/articles/nature12198,与膳食纤维摄入密切相关
ev_009,Akkermansia,genus,"Akkermansia;g__Akkermansia;Akkermansia_muciniphila",decreased:Control > T2D,"Forslund et al.",2015,Danish+Swedish,shotgun metagenomic,partial,"meta-analysis, metformin","多项研究报道 Akkermansia muciniphila 在二甲双胍治疗后丰度变化。",26633628,10.1038/nature15766,,二甲双胍效应与疾病效应不易分离
ev_010,Ruminococcus,genus,"Ruminococcus;g__Ruminococcus",decreased:Control > T2D,"Qin et al.",2012,Chinese,shotgun metagenomic,no,case_control,"Ruminococcus 属在 T2D 组中丰度降低。",23023125,10.1038/nature11450,https://www.nature.com/articles/nature11450,属内物种功能差异大
