gene_symbol,coefficient,training_mean_after_dataset_zscore,training_scale_after_dataset_zscore
PCOLCE2,1.2037353302786225,-1.1419436824715897e-15,1.0
SLC30A8,0.4672498469219042,-8.016675346643988e-16,1.0
PPP1R1A,0.3907419863214337,-5.82506625907225e-16,1.0
GLP1R,0.20820292410607322,1.049485174089657e-15,1.0
GLRA1,0.12163007691058876,0.0,1.0
PDX1,0.07396561294214468,-2.4338395656717717e-15,1.0
NKX6-1,-0.09238085913668055,8.13202319335829e-16,1.0
GABRA2,-0.3576446243949839,8.80248255238517e-16,0.9999999999999998
CHL1,-0.3735624699337338,4.339962732625612e-16,1.0
CLTRN,-0.38639005748665695,1.0958045437858689e-15,1.0
ARG2,-0.4833258834799344,-6.632501186072363e-17,1.0
OPRD1,-0.5367698438539189,2.2492830109288883e-16,1.0
IAPP,-0.5903005370601403,1.3841741605716237e-16,1.0
SLC2A2,-1.0790773615788811,2.6385819935896575e-16,1.0
