dataset,evaluation,threshold,n_samples,n_nd,n_t2d,auroc,accuracy,balanced_accuracy,tn,fp,fn,tp
training_combined,pooled_5fold_cv,0.32739081614347865,154,85,69,0.8796248934356352,0.8051948051948052,0.8167092924126172,60,25,5,64
training_combined,leave_one_dataset_out,0.32739081614347865,154,85,69,0.8069906223358909,0.7207792207792207,0.7361466325660699,50,35,8,61
GSE164416,pooled_5fold_cv_subset,0.32739081614347865,57,18,39,0.9772079772079771,0.9122807017543859,0.920940170940171,17,1,4,35
GSE164416,leave_one_dataset_out_subset,0.32739081614347865,57,18,39,0.9672364672364672,0.8596491228070176,0.8824786324786325,17,1,7,32
GSE20966,pooled_5fold_cv_subset,0.32739081614347865,20,10,10,0.98,0.95,0.95,9,1,0,10
GSE20966,leave_one_dataset_out_subset,0.32739081614347865,20,10,10,0.9500000000000001,0.95,0.95,9,1,0,10
GSE41762,pooled_5fold_cv_subset,0.32739081614347865,77,57,20,0.8324561403508772,0.6883116883116883,0.7732456140350876,34,23,1,19
GSE41762,leave_one_dataset_out_subset,0.32739081614347865,77,57,20,0.8807017543859649,0.5584415584415584,0.6855263157894737,24,33,1,19
GSE86468,external_baseline_donor_test,0.32739081614347865,8,5,3,0.8,0.625,0.6333333333333333,3,2,1,2
GSE86468,external_all_bulk_samples,0.32739081614347865,24,15,9,0.8222222222222222,0.7083333333333334,0.7222222222222222,10,5,2,7
