,SLC2A2,ARG2,CLTRN,PCOLCE2,IAPP,PPP1R1A,GABRA2,OPRD1,CHL1,GLRA1,GLP1R,PDX1,NKX6-1,SLC30A8
GSE164416_DP003,6.716412814587753,8.223477897360874,8.971541497516247,4.303664887506635,16.965708737800707,9.012851844442748,1.029685079292337,4.864068294878185,9.151423308590656,5.549344385279923,6.716412814587753,8.793346073486031,9.440228254700942,15.151898667545456
GSE164416_DP010,9.5038130873997,9.591030021877328,10.203994518669791,0.0,19.03581465930348,10.44232021440694,4.995382757811142,7.6251346509886115,10.66456450432344,8.089894297192556,8.185956472090057,9.286494127677068,10.263487011521942,15.672569880792196
GSE164416_DP011,10.09179108261426,9.16731943374741,10.66667995559828,1.1897690220902066,18.52586953905657,10.204166655895031,7.88712214909306,7.3090938464240605,10.287866024126538,7.366223929501086,7.918019375806231,9.299323962055537,10.031257806686718,15.590615162643434
GSE164416_DP012,9.805843510023118,8.896130816030116,9.803851689264746,1.1602051210890565,17.896460886723222,10.858791264275215,6.840589933464817,7.849811116446165,9.755203915176596,7.669042994278444,7.232871131554906,9.03845018429068,10.245153298187937,15.366085564117425
GSE164416_DP019,9.150315603958402,9.25920241586599,10.192409832298804,0.0,17.46897066782239,10.294871013855165,4.308045551734731,6.493339156144103,10.450959877657686,6.766876346898475,7.19493571023673,8.8183053144401,10.324130810155818,15.992651527810914
GSE164416_DP021,9.288827315691108,8.679608505458642,9.172641892391738,0.0,17.687917318408175,10.54298698226228,0.0,6.805366849527609,9.348780665144126,7.808981818839272,7.868019918427708,9.487024956938908,10.714983677050435,15.008618816746454
GSE164416_DP030,8.7742348878366,8.325991265763358,7.97387784087485,5.597942903734041,16.866851219838075,8.795880777721496,1.680875316109617,6.8545400336139135,9.318766024206992,6.205654449435577,7.710725088494758,9.555009595875042,10.349699774275551,15.674084694625057
GSE164416_DP034,4.322889016706673,7.443949163703904,8.277132622505672,8.775796230022896,15.349843326565136,10.440841634956696,0.0,5.358538821762583,4.088414841043229,0.0,4.170880305695865,7.608336607413628,8.460440225048684,14.314957299990816
GSE164416_DP042,8.422530330086934,8.19304183165433,8.48481623862098,1.593761179532104,15.966851336010064,10.381674515390518,2.5959524901654647,6.612955575745043,9.049326602461504,7.370649991496124,7.43095377628985,8.540619432298948,8.99614562635312,15.19739437049378
GSE164416_DP049,7.215634314146058,7.215634314146058,7.865363839517077,3.553006881740906,17.314250349867805,8.962705369263013,0.0,6.5065797751201995,8.280930427820529,6.418777594510765,7.611838894477642,8.661721967263828,9.818451658254922,15.206138329778286
